star_name,x,y,star_colour,star_type,object_name,world_type,tectonics,weather,temp,bio,total_ru,dist_to_parent_star,common,corrosive,base_metal,noble,rare_earth,precious,radioactive,exotic
Zeta Serpentis,500.7,3.5,green,dwarf,I,Acid World,2,2,78,0,165,536,165,0,0,0,0,0,0,0
Zeta Serpentis,500.7,3.5,green,dwarf,II,Cyanic World,0,0,-88,0,56,1657,56,0,0,0,0,0,0,0
Zeta Serpentis,500.7,3.5,green,dwarf,III,Gas Giant,0,7,-126,0,0,2596,0,0,0,0,0,0,0,0
Zeta Serpentis,500.7,3.5,green,dwarf,IIIa,Radioactive World,1,0,-126,0,752,2596,0,0,0,0,0,0,752,0
Zeta Serpentis,500.7,3.5,green,dwarf,IIIb,Opalescent World,2,0,-126,0,191,2596,31,0,0,40,120,0,0,0
Zeta Serpentis,500.7,3.5,green,dwarf,IIIc,Cyanic World,2,0,-126,0,31,2596,31,0,0,0,0,0,0,0
Zeta Serpentis,500.7,3.5,green,dwarf,IIId,Purple World,4,0,-126,0,0,2596,0,0,0,0,0,0,0,0
Zeta Serpentis,500.7,3.5,green,dwarf,IV,Gas Giant,1,7,-150,0,0,3759,0,0,0,0,0,0,0,0
Zeta Serpentis,500.7,3.5,green,dwarf,IVa,Halide World,0,0,-150,0,208,3759,0,208,0,0,0,0,0,0
Zeta Serpentis,500.7,3.5,green,dwarf,IVb,Quasi-Degenerate World,3,0,-150,0,700,3759,0,0,0,0,0,0,0,700
Zeta Serpentis,500.7,3.5,green,dwarf,IVc,Noble World,2,0,-150,0,196,3759,8,0,0,188,0,0,0,0
Zeta Serpentis,500.7,3.5,green,dwarf,V,Magnetic World,7,0,-159,0,72,4335,0,0,72,0,0,0,0,0
Eta Giclas,70.8,4.1,white,dwarf,I,Alkali World,1,1,-72,0,246,3145,0,0,246,0,0,0,0,0
Eta Giclas,70.8,4.1,white,dwarf,II,Auric World,1,1,-90,0,1434,3771,0,0,0,0,0,1434,0,0
Eta Giclas,70.8,4.1,white,dwarf,III,Xenolithic World,2,1,-102,0,336,4350,0,0,288,0,0,48,0,0
Eta Giclas,70.8,4.1,white,dwarf,IIIa,Halide World,0,0,-102,0,418,4350,0,50,0,0,0,0,368,0
Eta Giclas,70.8,4.1,white,dwarf,IV,Emerald World,0,0,-132,0,1550,6392,0,0,0,0,0,0,0,1550
Eta Giclas,70.8,4.1,white,dwarf,V,Urea World,4,1,-136,74,39,6762,39,0,0,0,0,0,0,0
Eta Giclas,70.8,4.1,white,dwarf,VI,Selenic World,1,0,-143,0,213,7443,0,0,213,0,0,0,0,0
Eta Serpentis,471.4,7.8,green,dwarf,I,Selenic World,1,0,-62,0,159,1263,0,0,159,0,0,0,0,0
Deneb,218.7,8.3,orange,dwarf,I,Chlorine World,4,0,-52,0,99,293,20,40,39,0,0,0,0,0
Deneb,218.7,8.3,orange,dwarf,II,Carbide World,1,0,-194,0,118,2270,118,0,0,0,0,0,0,0
Deneb,218.7,8.3,orange,dwarf,III,Super-Dense World,4,1,-226,0,135,6263,0,0,135,0,0,0,0,0
Deneb,218.7,8.3,orange,dwarf,IV,Gas Giant,2,7,-231,0,0,7753,0,0,0,0,0,0,0,0
Beta Gorno,281.4,8.9,orange,dwarf,I,Pellucid World,1,0,-121,0,0,616,0,0,0,0,0,0,0,0
Beta Gorno,281.4,8.9,orange,dwarf,II,Green World,5,2,-215,180,600,4104,0,0,0,0,600,0,0,0
Beta Gorno,281.4,8.9,orange,dwarf,III,Gas Giant,1,7,-229,0,0,7105,0,0,0,0,0,0,0,0
Beta Gorno,281.4,8.9,orange,dwarf,IIIa,Urea World,6,1,-229,164,31,7105,31,0,0,0,0,0,0,0
Beta Gorno,281.4,8.9,orange,dwarf,IIIb,Urea World,5,1,-229,0,33,7105,33,0,0,0,0,0,0,0
Capella,424.4,9.1,blue,dwarf,I,Oolite World,2,6,119,0,1018,1179,0,0,0,0,520,498,0,0
Capella,424.4,9.1,blue,dwarf,II,Noble World,0,0,-141,0,230,5017,22,0,0,208,0,0,0,0
Pollux,565.2,9.8,white,dwarf,I,Selenic World,2,0,-79,0,120,3386,0,0,120,0,0,0,0,0
Pollux,565.2,9.8,white,dwarf,II,Cyanic World,2,0,-120,0,24,5381,24,0,0,0,0,0,0,0
Gamma Gorno,293.9,11.6,orange,dwarf,I,Azure World,4,1,-182,0,114,1710,0,0,114,0,0,0,0,0
Gamma Gorno,293.9,11.6,orange,dwarf,II,Gas Giant,0,7,-201,0,0,2721,0,0,0,0,0,0,0,0
Gamma Gorno,293.9,11.6,orange,dwarf,IIa,Crimson World,0,2,-201,0,199,2721,0,34,165,0,0,0,0,0
